City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,saipan,15.1355,145.701,29.39,84,40,3.6,MP,2024-06-11
106,hithadhoo,-0.6,73.0833,28.19,75,91,3.17,MV,2024-06-11
107,itoman,26.1247,127.6694,26.43,100,75,5.66,JP,2024-06-11
108,el galpon,-25.3807,-64.6526,20.8,68,0,3.69,AR,2024-06-11
109,lospalos,-8.5186,127.0025,19.14,91,100,2.05,TL,2024-06-11
110,swakopmund,-22.6833,14.5333,13.88,88,31,0.45,NA,2024-06-11
111,garoowe,8.4054,48.4845,27.58,48,72,9.77,SO,2024-06-11
112,chonchi,-42.6128,-73.8092,11.56,97,17,1.13,CL,2024-06-11
113,hawaiian paradise park,19.5933,-154.9731,27.8,73,0,5.14,US,2024-06-11
114,hermanus,-34.4187,19.2345,17.11,78,51,11.48,ZA,2024-06-11
115,enid,36.3956,-97.8784,34.45,33,0,5.66,US,2024-06-11
116,nova sintra,14.8667,-24.7167,23.88,84,23,6.54,CV,2024-06-11
117,labytnangi,66.6572,66.4183,10.21,71,100,2.12,RU,2024-06-11
118,ribeira grande,38.5167,-28.7,18.76,81,42,2.68,PT,2024-06-11
119,champerico,14.3,-91.9167,31.3,79,100,5.63,GT,2024-06-11
120,avarua,-21.2078,-159.775,25.03,50,75,7.72,CK,2024-06-11
121,nadi,-17.8,177.4167,27.0,65,40,0.0,FJ,2024-06-11
122,mukalla,14.5425,49.1242,31.12,67,63,3.54,YE,2024-06-11
123,maseru,-29.3167,27.4833,5.45,41,87,1.59,LS,2024-06-11
124,yelan',50.949,43.7378,21.02,68,12,2.48,RU,2024-06-11
125,sinjai,-5.1241,120.253,23.85,94,89,1.47,ID,2024-06-11
126,olonkinbyen,70.9221,-8.7187,-1.18,83,13,1.33,SJ,2024-06-11
127,mangrol,21.1167,70.1167,28.85,79,3,6.09,IN,2024-06-11
128,bardai,11.65,7.2333,24.9,64,91,3.29,NG,2024-06-11
129,al qabil,22.571,58.6947,30.39,47,0,2.35,OM,2024-06-11
130,urucui,-7.2294,-44.5561,27.86,39,8,1.82,BR,2024-06-11
131,fisterra,42.9049,-9.2629,13.75,76,6,9.1,ES,2024-06-11
132,ponta delgada,37.7333,-25.6667,18.44,77,20,4.12,PT,2024-06-11
133,solnechnyy,50.7214,136.6319,6.68,86,100,3.83,RU,2024-06-11
134,longyearbyen,78.2186,15.6401,1.91,93,75,2.57,SJ,2024-06-11
135,naliya,23.2667,68.8333,28.44,78,4,6.43,IN,2024-06-11
136,saint-pierre,-21.3393,55.4781,22.82,73,0,2.06,RE,2024-06-11
137,ta`u,-14.2336,-169.5144,27.25,81,99,8.68,AS,2024-06-11
138,carnarvon,-24.8667,113.6333,19.05,88,100,3.07,AU,2024-06-11
139,cortina d'ampezzo,46.5384,12.1377,10.5,98,100,1.02,IT,2024-06-11
140,ciudad guayana,8.3533,-62.6528,27.67,81,100,2.54,VE,2024-06-11
141,reggane,26.7158,0.1714,38.46,12,0,3.63,DZ,2024-06-11
142,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,90,75,4.47,RU,2024-06-11
143,mossendjo,-2.9506,12.7261,20.95,77,27,0.66,CG,2024-06-11
144,bel ombre,-4.6167,55.4167,25.91,83,40,2.06,SC,2024-06-11
145,moose jaw,50.4001,-105.5344,25.15,31,40,2.57,CA,2024-06-11
146,pierre,44.3683,-100.351,29.51,36,0,1.79,US,2024-06-11
147,gustavsberg,59.3268,18.3898,10.94,95,86,1.27,SE,2024-06-11
148,harper,4.375,-7.7169,26.23,83,100,4.3,LR,2024-06-11
149,fale old settlement,-9.3852,-171.2468,28.75,76,95,4.19,TK,2024-06-11
150,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,2024-06-11
151,aasiaat,68.7098,-52.8699,1.34,88,100,1.89,GL,2024-06-11
152,ilulissat,69.2167,-51.1,4.01,93,100,2.06,GL,2024-06-11
153,new norfolk,-42.7826,147.0587,6.07,83,72,2.2,AU,2024-06-11
154,wailua homesteads,22.0669,-159.378,30.24,74,40,5.14,US,2024-06-11
155,trincomalee,8.5711,81.2335,27.88,75,100,10.66,LK,2024-06-11
156,george town,5.4112,100.3354,28.86,85,20,2.06,MY,2024-06-11
157,antsiranana,-12.2787,49.2917,24.05,73,100,3.16,MG,2024-06-11
158,ulladulla,-35.35,150.4667,12.38,66,1,4.91,AU,2024-06-11
159,gaspe,48.8334,-64.4819,17.12,77,20,4.12,CA,2024-06-11
160,weno,7.4515,151.8468,28.97,79,40,3.6,FM,2024-06-11
161,horta,38.5333,-28.6333,18.34,81,55,2.68,PT,2024-06-11
162,leshan,29.5623,103.7639,20.52,91,99,0.7,CN,2024-06-11
163,nouadhibou,20.931,-17.0347,22.99,64,6,9.77,MR,2024-06-11
164,polyarnyy,69.1989,33.4478,6.17,95,73,3.34,RU,2024-06-11
165,aleksandrov gay,50.147,48.5704,23.43,47,21,3.65,RU,2024-06-11
166,magadan,59.5667,150.8,9.74,64,98,2.97,RU,2024-06-11
167,puerto baquerizo moreno,-0.9,-89.6,24.55,73,20,8.23,EC,2024-06-11
168,ola,59.5833,151.2833,10.08,61,95,2.18,RU,2024-06-11
169,bermejo,-32.8833,-68.8,15.95,59,0,1.03,AR,2024-06-11
170,taltal,-25.4,-70.4833,16.1,81,31,2.21,CL,2024-06-11
171,rikaze,29.25,88.8833,13.47,46,5,1.92,CN,2024-06-11
172,nova vicosa,-17.8919,-39.3719,22.83,76,6,2.7,BR,2024-06-11
173,pocoes,-14.5297,-40.3653,17.23,91,43,2.2,BR,2024-06-11
174,darnah,32.767,22.6367,27.31,37,3,0.63,LY,2024-06-11
175,hexham,54.9699,-2.104,10.28,92,99,1.65,GB,2024-06-11
176,qamdo,31.1667,97.2333,8.65,77,97,0.93,CN,2024-06-11
177,georgetown,5.4112,100.3354,28.86,85,20,2.06,MY,2024-06-11
178,banda aceh,5.5577,95.3222,27.26,81,100,5.36,ID,2024-06-11
179,biltine,14.5333,20.9167,31.97,32,52,3.9,TD,2024-06-11
180,saint-philippe,-21.3585,55.7679,22.77,87,100,5.18,RE,2024-06-11
181,richlands,37.0932,-81.7937,24.06,34,2,2.88,US,2024-06-11
182,port moresby,-9.4431,147.1797,26.68,83,75,5.14,PG,2024-06-11
183,sweetwater,25.7634,-80.3731,26.12,97,100,4.12,US,2024-06-11
184,san jose,37.3394,-121.895,39.83,34,0,6.17,US,2024-06-11
185,sarandi del yi,-33.35,-55.6333,15.99,88,100,6.49,UY,2024-06-11
186,port alfred,-33.5906,26.891,21.21,40,95,2.24,ZA,2024-06-11
187,buulobarde,3.8538,45.5674,24.43,74,93,8.53,SO,2024-06-11
188,puerto ayora,-0.7393,-90.3518,27.98,94,97,1.79,EC,2024-06-11
189,pali,25.7667,73.3333,31.33,55,87,7.64,IN,2024-06-11
190,porbandar,21.6422,69.6093,28.67,79,2,5.88,IN,2024-06-11
191,punta arenas,-53.15,-70.9167,0.06,100,100,3.09,CL,2024-06-11
192,mar del plata,-38.0023,-57.5575,12.83,92,99,7.6,AR,2024-06-11
193,thompson,55.7435,-97.8558,15.09,82,100,1.03,CA,2024-06-11
194,roma,43.2128,-75.4557,17.54,71,100,2.57,US,2024-06-11
195,phai sali,15.5976,100.6585,26.16,76,100,2.99,TH,2024-06-11
196,chachersk,52.9164,30.9179,16.22,97,2,2.03,BY,2024-06-11
197,nguigmi,14.2495,13.1092,27.56,60,12,5.98,NE,2024-06-11
198,nykarleby,63.5228,22.5307,11.06,90,11,2.06,FI,2024-06-11
199,tarawa,1.419,172.984,31.05,70,40,4.12,KI,2024-06-11
200,lihue,21.9789,-159.3672,30.58,68,40,5.14,US,2024-06-11
201,kodiak,57.79,-152.4072,8.73,87,100,4.12,US,2024-06-11
202,atafu village,-8.5421,-172.5159,28.38,76,90,3.14,TK,2024-06-11
203,antalaha,-14.9003,50.2788,21.56,93,100,2.56,MG,2024-06-11
204,pocone,-16.2567,-56.6228,27.11,32,19,1.72,BR,2024-06-11
205,tual,-5.6667,132.75,26.74,82,100,8.94,ID,2024-06-11
206,xinqing,48.2333,129.5,13.33,97,100,1.05,CN,2024-06-11
207,ormara,25.2088,64.6357,28.11,88,4,4.39,PK,2024-06-11
208,jayapura,-2.5333,140.7,25.66,90,93,1.81,ID,2024-06-11
209,harstad,68.799,16.5293,10.66,97,78,0.45,NO,2024-06-11
210,palapag,12.5458,125.1147,25.81,94,84,1.61,PH,2024-06-11
211,arraial do cabo,-22.9661,-42.0278,17.98,88,0,0.0,BR,2024-06-11
212,wake village,33.4268,-94.1063,32.06,38,0,3.09,US,2024-06-11
213,kupang,-10.1667,123.5833,25.32,94,20,2.57,ID,2024-06-11
214,polur,12.5,79.1333,28.72,60,100,2.79,IN,2024-06-11
215,suileng,47.25,127.0833,15.66,77,6,4.93,CN,2024-06-11
216,remire-montjoly,4.9167,-52.2667,27.02,89,0,1.03,GF,2024-06-11
217,watampone,-4.5386,120.3279,23.81,93,56,1.79,ID,2024-06-11
218,sinop,41.7711,34.8709,21.62,27,0,4.01,TR,2024-06-11
219,plettenberg bay,-34.0527,23.3716,19.21,55,34,5.15,ZA,2024-06-11
220,tromso,69.6496,18.957,10.01,93,75,4.12,NO,2024-06-11
221,madang,-5.2246,145.7966,25.52,90,98,1.45,PG,2024-06-11
222,veraval,20.9,70.3667,28.96,78,27,5.9,IN,2024-06-11
223,chipinge,-20.1883,32.6236,9.16,92,26,1.7,ZW,2024-06-11
224,viedma,-40.8135,-62.9967,14.42,51,99,4.7,AR,2024-06-11
225,ust-nera,64.5667,143.2,13.9,49,47,1.69,RU,2024-06-11
226,chokwe,-24.5333,32.9833,15.01,84,1,1.68,MZ,2024-06-11
227,badger,64.8,-147.5333,21.95,60,75,3.6,US,2024-06-11
228,kiffa,16.6166,-11.4045,37.54,14,0,3.36,MR,2024-06-11
229,la passe,45.5549,-0.8967,16.13,71,99,4.39,FR,2024-06-11
